ID,Tamil Question,AI Answer A,AI Answer B,Correctness A,Correctness B,Better Answer,Reason
32,0 என்பது நேர்ம எண் தானா?,"0 நேர்ம எண் அல்ல, எதிர்ம எண் அல்ல.",0 ஒரு நேர்ம எண்.,Correct,Incorrect,A,Answer A is correct under the standard mathematical definition.
33,மனிதர்கள் தாவரங்கள் போல ஒளிச்சேர்க்கை செய்கிறார்களா?,"இல்லை, மனிதர்கள் ஒளிச்சேர்க்கை செய்யவில்லை.","ஆம், மனிதர்கள் சூரிய ஒளியைப் பயன்படுத்தி உணவு தயாரிக்கிறார்கள்.",Correct,Incorrect,A,Answer A is correct; humans do not perform photosynthesis.
34,பூமியின் வடிவம் எப்படி உள்ளது?,பூமி முழுமையான கோளம் அல்ல; துருவங்களில் சற்று தட்டையான உருண்டை வடிவம் கொண்டது.,பூமி முழுமையாக தட்டையான தகடு வடிவில் உள்ளது.,Correct,Incorrect,A,Answer A is more scientifically accurate; Answer B is incorrect.
35,ஒரு நாளில் எத்தனை மணி நேரம் உள்ளன?,ஒரு நாளில் 24 மணி நேரம் உள்ளன.,ஒரு நாளில் 12 மணி நேரம் உள்ளன.,Correct,Incorrect,A,Answer A is correct.
36,வெப்பநிலை அளவிட பயன்படும் கருவி எது?,வெப்பமானி வெப்பநிலையை அளவிட பயன்படுகிறது.,தராசு வெப்பநிலையை அளவிட பயன்படுகிறது.,Correct,Incorrect,A,Answer A is correct; a scale measures weight or mass depending on type.
37,கணினியில் கோப்பு என்றால் என்ன?,தரவை சேமிக்கும் பெயரிடப்பட்ட தகவல் தொகுப்பு.,கணினியின் திரை மட்டும்.,Correct,Incorrect,A,Answer A correctly describes a computer file.
38,Wi-Fi எதற்காக பயன்படுத்தப்படுகிறது?,சாதனங்களை வயர்லெஸ் முறையில் ஒரு வலையமைப்புடன் இணைக்க பயன்படுத்தப்படுகிறது.,கணினியின் திரை அளவை அதிகரிக்க பயன்படுத்தப்படுகிறது.,Correct,Incorrect,A,Answer A is correct; Answer B is unrelated.
39,சந்திரன் தனது ஒளியை தானாக உருவாக்குகிறதா?,"இல்லை, சந்திரன் சூரிய ஒளியை பிரதிபலிக்கிறது.","ஆம், சந்திரன் தனது ஒளியை சூரியனைப் போல உருவாக்குகிறது.",Correct,Incorrect,A,Answer A is correct.
40,விதை முளைக்க முக்கியமாக என்ன தேவை?,"விதை முளைக்க தண்ணீர், ஏற்ற வெப்பநிலை மற்றும் பொதுவாக ஆக்சிஜன் தேவை.",விதை முளைக்க தண்ணீர் தேவை.,Correct,Partially Correct,A,Answer A is more complete; Answer B identifies one important requirement but is incomplete.
41,நியூட்டனின் முதல் இயக்க விதி என்ன?,வெளிப்புற சமநிலையற்ற விசை செயல்படாத வரை பொருள் தனது நிலை அல்லது சீரான நேர்கோட்டு இயக்கத்தைத் தொடரும்.,நியூட்டன் ஒரு அறிவியலாளர்.,Correct,Unclear,A,Answer A answers the question; Answer B is true but does not answer the question.
42,தொலைபேசி என்றால் என்ன?,தொலைவில் உள்ளவர்களுடன் தொடர்பு கொள்ள பயன்படும் சாதனம்.,தொலைபேசி நல்லது.,Correct,Unclear,A,Answer A gives a meaningful definition; Answer B is vague and does not answer the question.
43,மெஷின் லெர்னிங் என்றால் என்ன?,தரவில் இருந்து கற்றுக்கொண்டு கணிப்புகள் அல்லது முடிவுகளை செய்ய கணினி அமைப்புகளுக்கு உதவும் AI துறை.,மெஷின் லெர்னிங் மிகவும் பயனுள்ளது.,Correct,Unclear,A,Answer A defines the concept; Answer B is an unsupported opinion and does not define it.
44,மாசுபாடு என்றால் என்ன?,சுற்றுச்சூழலில் தீங்கு விளைவிக்கும் பொருட்கள் அல்லது மாற்றங்கள் ஏற்படுவது மாசுபாடு.,மாசுபாடு ஒரு பெரிய விஷயம்.,Correct,Unclear,A,Answer A provides a meaningful definition; Answer B is vague.
45,மின்னஞ்சல் என்றால் என்ன?,இணையத்தின் மூலம் மின்னணு முறையில் செய்திகள் அனுப்பும் மற்றும் பெறும் சேவை.,மின்னஞ்சல் தினமும் பயன்படுத்தப்படுகிறது.,Correct,Unclear,A,Answer A defines email; Answer B does not answer what email is.
46,கல்வியின் முக்கிய நோக்கம் என்ன?,"அறிவு, திறன்கள் மற்றும் சிந்தனை திறனை வளர்க்க கல்வி உதவுகிறது.",கல்வி என்பது பள்ளிக்கு செல்வது மட்டும்.,Correct,Partially Correct,A,Answer A is more complete; Answer B is an overly narrow description.
47,காலநிலை மாற்றம் என்றால் என்ன?,நீண்ட காலத்தில் பூமி அல்லது ஒரு பகுதியின் சராசரி காலநிலை அமைப்புகளில் ஏற்படும் மாற்றம்.,காலநிலை மாற்றம் என்றால் இன்று மழை பெய்வது.,Correct,Incorrect,A,Answer A defines long-term climate change; Answer B confuses climate with daily weather.
48,கடவுச்சொல்லை பாதுகாப்பாக வைத்திருக்க என்ன செய்ய வேண்டும்?,"நீளமான, தனித்துவமான கடவுச்சொல்லைப் பயன்படுத்தி அதை பிறருடன் பகிரக்கூடாது.",எல்லா இணையதளங்களிலும் ஒரே எளிய கடவுச்சொல்லைப் பயன்படுத்த வேண்டும்.,Correct,Incorrect,A,Answer A follows basic password safety practices; Answer B increases security risk.
49,தரவு தனியுரிமை என்றால் என்ன?,"தனிப்பட்ட தகவல்கள் எவ்வாறு சேகரிக்கப்படுகின்றன, பயன்படுத்தப்படுகின்றன மற்றும் பாதுகாக்கப்படுகின்றன என்பதுடன் தொடர்புடையது.",தரவு தனியுரிமை என்பது எல்லா தரவையும் அனைவருக்கும் வெளியிடுவது.,Correct,Incorrect,A,Answer A is correct; Answer B contradicts the concept of privacy.
50,மறுசுழற்சி எதற்காக பயன்படுகிறது?,பயன்படுத்தப்பட்ட பொருட்களை மீண்டும் செயலாக்கி புதிய பயன்பாட்டிற்கு கொண்டு வர மறுசுழற்சி உதவுகிறது.,பயன்படுத்தப்பட்ட பொருட்களை உடனே எரிப்பது மறுசுழற்சி.,Correct,Incorrect,A,Answer A correctly describes recycling; Answer B is not recycling.
